Pos-Nr. Nr.),Menge Einheit,Einheitspreis in,Gesamtpreis in,Gesamtpreis in,Gesamtpreis in,Gesamtpreis in,Gesamtpreis in,Gesamtpreis in,Gesamtpreis in
1.11.26,"EUR EUR Linear-Deckenluftdurchlass 2-reihig L 1300mm STLB-Bau 2023-10 075 4637 mit Schlitzelementen, 2-reihig, Schlitzbreite ca. 15 mm, wechselseitig, einstellbar, Durchlass aus Aluminiumprofilen, naturfarben","EUR EUR Linear-Deckenluftdurchlass 2-reihig L 1300mm STLB-Bau 2023-10 075 4637 mit Schlitzelementen, 2-reihig, Schlitzbreite ca. 15 mm, wechselseitig, einstellbar, Durchlass aus Aluminiumprofilen, naturfarben","EUR EUR Linear-Deckenluftdurchlass 2-reihig L 1300mm STLB-Bau 2023-10 075 4637 mit Schlitzelementen, 2-reihig, Schlitzbreite ca. 15 mm, wechselseitig, einstellbar, Durchlass aus Aluminiumprofilen, naturfarben","EUR EUR Linear-Deckenluftdurchlass 2-reihig L 1300mm STLB-Bau 2023-10 075 4637 mit Schlitzelementen, 2-reihig, Schlitzbreite ca. 15 mm, wechselseitig, einstellbar, Durchlass aus Aluminiumprofilen, naturfarben","EUR EUR Linear-Deckenluftdurchlass 2-reihig L 1300mm STLB-Bau 2023-10 075 4637 mit Schlitzelementen, 2-reihig, Schlitzbreite ca. 15 mm, wechselseitig, einstellbar, Durchlass aus Aluminiumprofilen, naturfarben","EUR EUR Linear-Deckenluftdurchlass 2-reihig L 1300mm STLB-Bau 2023-10 075 4637 mit Schlitzelementen, 2-reihig, Schlitzbreite ca. 15 mm, wechselseitig, einstellbar, Durchlass aus Aluminiumprofilen, naturfarben","EUR EUR Linear-Deckenluftdurchlass 2-reihig L 1300mm STLB-Bau 2023-10 075 4637 mit Schlitzelementen, 2-reihig, Schlitzbreite ca. 15 mm, wechselseitig, einstellbar, Durchlass aus Aluminiumprofilen, naturfarben","EUR EUR Linear-Deckenluftdurchlass 2-reihig L 1300mm STLB-Bau 2023-10 075 4637 mit Schlitzelementen, 2-reihig, Schlitzbreite ca. 15 mm, wechselseitig, einstellbar, Durchlass aus Aluminiumprofilen, naturfarben","EUR EUR Linear-Deckenluftdurchlass 2-reihig L 1300mm STLB-Bau 2023-10 075 4637 mit Schlitzelementen, 2-reihig, Schlitzbreite ca. 15 mm, wechselseitig, einstellbar, Durchlass aus Aluminiumprofilen, naturfarben"
,"Linear-Deckenluftdurchlass Luftdurchlass eloxiert, mit Endabschlüssen, Anschlusskasten und Anschlussstutzen aus verzinktem Stahl, mit Schall-/Wärmedämmauskleidung, mit frontseitig bedienbarer Volumenstromeinstellvorrichtung, Länge 1300 mm, max. spezifischer Zuluftvolumenstrom pro aktivem Durchlass in m3/h m 75 max. A-Schallleistungspegel in dB 35","Linear-Deckenluftdurchlass Luftdurchlass eloxiert, mit Endabschlüssen, Anschlusskasten und Anschlussstutzen aus verzinktem Stahl, mit Schall-/Wärmedämmauskleidung, mit frontseitig bedienbarer Volumenstromeinstellvorrichtung, Länge 1300 mm, max. spezifischer Zuluftvolumenstrom pro aktivem Durchlass in m3/h m 75 max. A-Schallleistungspegel in dB 35","Linear-Deckenluftdurchlass Luftdurchlass eloxiert, mit Endabschlüssen, Anschlusskasten und Anschlussstutzen aus verzinktem Stahl, mit Schall-/Wärmedämmauskleidung, mit frontseitig bedienbarer Volumenstromeinstellvorrichtung, Länge 1300 mm, max. spezifischer Zuluftvolumenstrom pro aktivem Durchlass in m3/h m 75 max. A-Schallleistungspegel in dB 35","Linear-Deckenluftdurchlass Luftdurchlass eloxiert, mit Endabschlüssen, Anschlusskasten und Anschlussstutzen aus verzinktem Stahl, mit Schall-/Wärmedämmauskleidung, mit frontseitig bedienbarer Volumenstromeinstellvorrichtung, Länge 1300 mm, max. spezifischer Zuluftvolumenstrom pro aktivem Durchlass in m3/h m 75 max. A-Schallleistungspegel in dB 35","Linear-Deckenluftdurchlass Luftdurchlass eloxiert, mit Endabschlüssen, Anschlusskasten und Anschlussstutzen aus verzinktem Stahl, mit Schall-/Wärmedämmauskleidung, mit frontseitig bedienbarer Volumenstromeinstellvorrichtung, Länge 1300 mm, max. spezifischer Zuluftvolumenstrom pro aktivem Durchlass in m3/h m 75 max. A-Schallleistungspegel in dB 35","Linear-Deckenluftdurchlass Luftdurchlass eloxiert, mit Endabschlüssen, Anschlusskasten und Anschlussstutzen aus verzinktem Stahl, mit Schall-/Wärmedämmauskleidung, mit frontseitig bedienbarer Volumenstromeinstellvorrichtung, Länge 1300 mm, max. spezifischer Zuluftvolumenstrom pro aktivem Durchlass in m3/h m 75 max. A-Schallleistungspegel in dB 35","Linear-Deckenluftdurchlass Luftdurchlass eloxiert, mit Endabschlüssen, Anschlusskasten und Anschlussstutzen aus verzinktem Stahl, mit Schall-/Wärmedämmauskleidung, mit frontseitig bedienbarer Volumenstromeinstellvorrichtung, Länge 1300 mm, max. spezifischer Zuluftvolumenstrom pro aktivem Durchlass in m3/h m 75 max. A-Schallleistungspegel in dB 35","Linear-Deckenluftdurchlass Luftdurchlass eloxiert, mit Endabschlüssen, Anschlusskasten und Anschlussstutzen aus verzinktem Stahl, mit Schall-/Wärmedämmauskleidung, mit frontseitig bedienbarer Volumenstromeinstellvorrichtung, Länge 1300 mm, max. spezifischer Zuluftvolumenstrom pro aktivem Durchlass in m3/h m 75 max. A-Schallleistungspegel in dB 35","Linear-Deckenluftdurchlass Luftdurchlass eloxiert, mit Endabschlüssen, Anschlusskasten und Anschlussstutzen aus verzinktem Stahl, mit Schall-/Wärmedämmauskleidung, mit frontseitig bedienbarer Volumenstromeinstellvorrichtung, Länge 1300 mm, max. spezifischer Zuluftvolumenstrom pro aktivem Durchlass in m3/h m 75 max. A-Schallleistungspegel in dB 35"
,"4,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.11.26 Linear-Deckenluftdurchlass 2-reihig L 2000mm STLB-Bau 2023-10 075 4637",,,,,,,,
1.11.27,"Länge 2000 mm, max. spezifischer Zuluftvolumenstrom pro aktivem Durchlass in m3/h m 120 2,000 St","Länge 2000 mm, max. spezifischer Zuluftvolumenstrom pro aktivem Durchlass in m3/h m 120 2,000 St","Länge 2000 mm, max. spezifischer Zuluftvolumenstrom pro aktivem Durchlass in m3/h m 120 2,000 St","Länge 2000 mm, max. spezifischer Zuluftvolumenstrom pro aktivem Durchlass in m3/h m 120 2,000 St","Länge 2000 mm, max. spezifischer Zuluftvolumenstrom pro aktivem Durchlass in m3/h m 120 2,000 St","Länge 2000 mm, max. spezifischer Zuluftvolumenstrom pro aktivem Durchlass in m3/h m 120 2,000 St","Länge 2000 mm, max. spezifischer Zuluftvolumenstrom pro aktivem Durchlass in m3/h m 120 2,000 St","Länge 2000 mm, max. spezifischer Zuluftvolumenstrom pro aktivem Durchlass in m3/h m 120 2,000 St","Länge 2000 mm, max. spezifischer Zuluftvolumenstrom pro aktivem Durchlass in m3/h m 120 2,000 St"
,"Drallauslässe, Zuluft Drallauslässe, Zuluft *** Bezugsbeschreibung",,,,,,,,
1.11.28,"Decken-Drallluftdurchlass Luftstrahl einstellbar Frontpl quadratisch Gr.300 STLB-Bau 2023-10 075 4635 Decken-Drallluftdurchlass, Luftstrahl einstellbar, Frontplatte quadratisch, mit axial angeordneten Luftschlitzen, mit einstellbaren Luftleitelementen, Frontplatte aus beschichtetem Luftleitelemente aus Kunststoff, Frontplatte RAL 9010, Luftleitelemente ähnlich RAL 9005 300, mit Anschlusskasten und Luftleitungsanschluss aus verzinktem Stahl, Lage mit Lippendichtung,","Decken-Drallluftdurchlass Luftstrahl einstellbar Frontpl quadratisch Gr.300 STLB-Bau 2023-10 075 4635 Decken-Drallluftdurchlass, Luftstrahl einstellbar, Frontplatte quadratisch, mit axial angeordneten Luftschlitzen, mit einstellbaren Luftleitelementen, Frontplatte aus beschichtetem Luftleitelemente aus Kunststoff, Frontplatte RAL 9010, Luftleitelemente ähnlich RAL 9005 300, mit Anschlusskasten und Luftleitungsanschluss aus verzinktem Stahl, Lage mit Lippendichtung,","Decken-Drallluftdurchlass Luftstrahl einstellbar Frontpl quadratisch Gr.300 STLB-Bau 2023-10 075 4635 Decken-Drallluftdurchlass, Luftstrahl einstellbar, Frontplatte quadratisch, mit axial angeordneten Luftschlitzen, mit einstellbaren Luftleitelementen, Frontplatte aus beschichtetem Luftleitelemente aus Kunststoff, Frontplatte RAL 9010, Luftleitelemente ähnlich RAL 9005 300, mit Anschlusskasten und Luftleitungsanschluss aus verzinktem Stahl, Lage mit Lippendichtung,","Decken-Drallluftdurchlass Luftstrahl einstellbar Frontpl quadratisch Gr.300 STLB-Bau 2023-10 075 4635 Decken-Drallluftdurchlass, Luftstrahl einstellbar, Frontplatte quadratisch, mit axial angeordneten Luftschlitzen, mit einstellbaren Luftleitelementen, Frontplatte aus beschichtetem Luftleitelemente aus Kunststoff, Frontplatte RAL 9010, Luftleitelemente ähnlich RAL 9005 300, mit Anschlusskasten und Luftleitungsanschluss aus verzinktem Stahl, Lage mit Lippendichtung,","Decken-Drallluftdurchlass Luftstrahl einstellbar Frontpl quadratisch Gr.300 STLB-Bau 2023-10 075 4635 Decken-Drallluftdurchlass, Luftstrahl einstellbar, Frontplatte quadratisch, mit axial angeordneten Luftschlitzen, mit einstellbaren Luftleitelementen, Frontplatte aus beschichtetem Luftleitelemente aus Kunststoff, Frontplatte RAL 9010, Luftleitelemente ähnlich RAL 9005 300, mit Anschlusskasten und Luftleitungsanschluss aus verzinktem Stahl, Lage mit Lippendichtung,","Decken-Drallluftdurchlass Luftstrahl einstellbar Frontpl quadratisch Gr.300 STLB-Bau 2023-10 075 4635 Decken-Drallluftdurchlass, Luftstrahl einstellbar, Frontplatte quadratisch, mit axial angeordneten Luftschlitzen, mit einstellbaren Luftleitelementen, Frontplatte aus beschichtetem Luftleitelemente aus Kunststoff, Frontplatte RAL 9010, Luftleitelemente ähnlich RAL 9005 300, mit Anschlusskasten und Luftleitungsanschluss aus verzinktem Stahl, Lage mit Lippendichtung,","Decken-Drallluftdurchlass Luftstrahl einstellbar Frontpl quadratisch Gr.300 STLB-Bau 2023-10 075 4635 Decken-Drallluftdurchlass, Luftstrahl einstellbar, Frontplatte quadratisch, mit axial angeordneten Luftschlitzen, mit einstellbaren Luftleitelementen, Frontplatte aus beschichtetem Luftleitelemente aus Kunststoff, Frontplatte RAL 9010, Luftleitelemente ähnlich RAL 9005 300, mit Anschlusskasten und Luftleitungsanschluss aus verzinktem Stahl, Lage mit Lippendichtung,","Decken-Drallluftdurchlass Luftstrahl einstellbar Frontpl quadratisch Gr.300 STLB-Bau 2023-10 075 4635 Decken-Drallluftdurchlass, Luftstrahl einstellbar, Frontplatte quadratisch, mit axial angeordneten Luftschlitzen, mit einstellbaren Luftleitelementen, Frontplatte aus beschichtetem Luftleitelemente aus Kunststoff, Frontplatte RAL 9010, Luftleitelemente ähnlich RAL 9005 300, mit Anschlusskasten und Luftleitungsanschluss aus verzinktem Stahl, Lage mit Lippendichtung,","Decken-Drallluftdurchlass Luftstrahl einstellbar Frontpl quadratisch Gr.300 STLB-Bau 2023-10 075 4635 Decken-Drallluftdurchlass, Luftstrahl einstellbar, Frontplatte quadratisch, mit axial angeordneten Luftschlitzen, mit einstellbaren Luftleitelementen, Frontplatte aus beschichtetem Luftleitelemente aus Kunststoff, Frontplatte RAL 9010, Luftleitelemente ähnlich RAL 9005 300, mit Anschlusskasten und Luftleitungsanschluss aus verzinktem Stahl, Lage mit Lippendichtung,"
,"Stahl, Farbton Nenngröße seitlich, Anschlussstutzendurchmesser in mm 160 mit frontseitig bedienbarer Volumenstromeinstellvorrichtung des Luftleitungsanschlusses, Zuluftvolumenstrom in m3/h max. 70 max. A-Schallleistungspegel in dB 35",,,,,,,,
1.11.29,"*** Wiederholungsbeschreibung zu Bezugs-OZ 1.11.28 Decken-Drallluftdurchlass Luftstrahl einstellbar Frontpl quadratisch L/B 400/400mm Gr.400 STLB-Bau 2023-10 075 4635 Frontplattennennmaß L/B 400/400 mm,Nenngröße 400, Anschlussstutzendurchmesser in mm 200","*** Wiederholungsbeschreibung zu Bezugs-OZ 1.11.28 Decken-Drallluftdurchlass Luftstrahl einstellbar Frontpl quadratisch L/B 400/400mm Gr.400 STLB-Bau 2023-10 075 4635 Frontplattennennmaß L/B 400/400 mm,Nenngröße 400, Anschlussstutzendurchmesser in mm 200","*** Wiederholungsbeschreibung zu Bezugs-OZ 1.11.28 Decken-Drallluftdurchlass Luftstrahl einstellbar Frontpl quadratisch L/B 400/400mm Gr.400 STLB-Bau 2023-10 075 4635 Frontplattennennmaß L/B 400/400 mm,Nenngröße 400, Anschlussstutzendurchmesser in mm 200","*** Wiederholungsbeschreibung zu Bezugs-OZ 1.11.28 Decken-Drallluftdurchlass Luftstrahl einstellbar Frontpl quadratisch L/B 400/400mm Gr.400 STLB-Bau 2023-10 075 4635 Frontplattennennmaß L/B 400/400 mm,Nenngröße 400, Anschlussstutzendurchmesser in mm 200","*** Wiederholungsbeschreibung zu Bezugs-OZ 1.11.28 Decken-Drallluftdurchlass Luftstrahl einstellbar Frontpl quadratisch L/B 400/400mm Gr.400 STLB-Bau 2023-10 075 4635 Frontplattennennmaß L/B 400/400 mm,Nenngröße 400, Anschlussstutzendurchmesser in mm 200","*** Wiederholungsbeschreibung zu Bezugs-OZ 1.11.28 Decken-Drallluftdurchlass Luftstrahl einstellbar Frontpl quadratisch L/B 400/400mm Gr.400 STLB-Bau 2023-10 075 4635 Frontplattennennmaß L/B 400/400 mm,Nenngröße 400, Anschlussstutzendurchmesser in mm 200","*** Wiederholungsbeschreibung zu Bezugs-OZ 1.11.28 Decken-Drallluftdurchlass Luftstrahl einstellbar Frontpl quadratisch L/B 400/400mm Gr.400 STLB-Bau 2023-10 075 4635 Frontplattennennmaß L/B 400/400 mm,Nenngröße 400, Anschlussstutzendurchmesser in mm 200","*** Wiederholungsbeschreibung zu Bezugs-OZ 1.11.28 Decken-Drallluftdurchlass Luftstrahl einstellbar Frontpl quadratisch L/B 400/400mm Gr.400 STLB-Bau 2023-10 075 4635 Frontplattennennmaß L/B 400/400 mm,Nenngröße 400, Anschlussstutzendurchmesser in mm 200","*** Wiederholungsbeschreibung zu Bezugs-OZ 1.11.28 Decken-Drallluftdurchlass Luftstrahl einstellbar Frontpl quadratisch L/B 400/400mm Gr.400 STLB-Bau 2023-10 075 4635 Frontplattennennmaß L/B 400/400 mm,Nenngröße 400, Anschlussstutzendurchmesser in mm 200"
1.11.30,"14,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.11.28 Decken-Drallluftdurchlass Luftstrahl einstellbar Frontpl quadratisch L/B 500/500mm Gr.500 STLB-Bau 2023-10 075 4635 Frontplattennennmaß L/B 500/500 mm, Nenngröße 500, Anschlussstutzendurchmesser in mm 200",,,,,,,,
,in m3/h max. 420,in m3/h max. 420,in m3/h max. 420,in m3/h max. 420,in m3/h max. 420,in m3/h max. 420,in m3/h max. 420,in m3/h max. 420,in m3/h max. 420
,Zuluftvolumenstrom,Zuluftvolumenstrom,Zuluftvolumenstrom,Zuluftvolumenstrom,Zuluftvolumenstrom,Zuluftvolumenstrom,Zuluftvolumenstrom,Zuluftvolumenstrom,Zuluftvolumenstrom
1.11.31,"22,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.11.28 Decken-Drallluftdurchlass Luftstrahl einstellbar Frontpl quadratisch L/B 600/600mm Gr.600 STLB-Bau 2023-10 075 4635 Frontplattennennmaß L/B 600/600 mm,Nenngröße 600, Anschlussstutzendurchmesser in mm 250","22,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.11.28 Decken-Drallluftdurchlass Luftstrahl einstellbar Frontpl quadratisch L/B 600/600mm Gr.600 STLB-Bau 2023-10 075 4635 Frontplattennennmaß L/B 600/600 mm,Nenngröße 600, Anschlussstutzendurchmesser in mm 250","22,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.11.28 Decken-Drallluftdurchlass Luftstrahl einstellbar Frontpl quadratisch L/B 600/600mm Gr.600 STLB-Bau 2023-10 075 4635 Frontplattennennmaß L/B 600/600 mm,Nenngröße 600, Anschlussstutzendurchmesser in mm 250","22,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.11.28 Decken-Drallluftdurchlass Luftstrahl einstellbar Frontpl quadratisch L/B 600/600mm Gr.600 STLB-Bau 2023-10 075 4635 Frontplattennennmaß L/B 600/600 mm,Nenngröße 600, Anschlussstutzendurchmesser in mm 250","22,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.11.28 Decken-Drallluftdurchlass Luftstrahl einstellbar Frontpl quadratisch L/B 600/600mm Gr.600 STLB-Bau 2023-10 075 4635 Frontplattennennmaß L/B 600/600 mm,Nenngröße 600, Anschlussstutzendurchmesser in mm 250","22,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.11.28 Decken-Drallluftdurchlass Luftstrahl einstellbar Frontpl quadratisch L/B 600/600mm Gr.600 STLB-Bau 2023-10 075 4635 Frontplattennennmaß L/B 600/600 mm,Nenngröße 600, Anschlussstutzendurchmesser in mm 250","22,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.11.28 Decken-Drallluftdurchlass Luftstrahl einstellbar Frontpl quadratisch L/B 600/600mm Gr.600 STLB-Bau 2023-10 075 4635 Frontplattennennmaß L/B 600/600 mm,Nenngröße 600, Anschlussstutzendurchmesser in mm 250","22,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.11.28 Decken-Drallluftdurchlass Luftstrahl einstellbar Frontpl quadratisch L/B 600/600mm Gr.600 STLB-Bau 2023-10 075 4635 Frontplattennennmaß L/B 600/600 mm,Nenngröße 600, Anschlussstutzendurchmesser in mm 250","22,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.11.28 Decken-Drallluftdurchlass Luftstrahl einstellbar Frontpl quadratisch L/B 600/600mm Gr.600 STLB-Bau 2023-10 075 4635 Frontplattennennmaß L/B 600/600 mm,Nenngröße 600, Anschlussstutzendurchmesser in mm 250"
1.11.32,,,,,,,,,
,"248,000 St Drallauslässe, Abluft","248,000 St Drallauslässe, Abluft","248,000 St Drallauslässe, Abluft","248,000 St Drallauslässe, Abluft","248,000 St Drallauslässe, Abluft","248,000 St Drallauslässe, Abluft","248,000 St Drallauslässe, Abluft","248,000 St Drallauslässe, Abluft","248,000 St Drallauslässe, Abluft"
,"Frontplatte RAL 9010, Luftleitelemente ähnlich RAL 9005 *** Bezugsbeschreibung Decken-Drallluftdurchlass Abluft Gr.400 STLB-Bau 2023-10 075 4635 Decken-Drallluftdurchlass, für Abluft, Nenngröße 400, mit Anschlusskasten und Luftleitungsanschluss aus verzinktem Stahl, Lage seitlich, mit Lippendichtung, Anschlussstutzendurchmesser in mm 200","Frontplatte RAL 9010, Luftleitelemente ähnlich RAL 9005 *** Bezugsbeschreibung Decken-Drallluftdurchlass Abluft Gr.400 STLB-Bau 2023-10 075 4635 Decken-Drallluftdurchlass, für Abluft, Nenngröße 400, mit Anschlusskasten und Luftleitungsanschluss aus verzinktem Stahl, Lage seitlich, mit Lippendichtung, Anschlussstutzendurchmesser in mm 200","Frontplatte RAL 9010, Luftleitelemente ähnlich RAL 9005 *** Bezugsbeschreibung Decken-Drallluftdurchlass Abluft Gr.400 STLB-Bau 2023-10 075 4635 Decken-Drallluftdurchlass, für Abluft, Nenngröße 400, mit Anschlusskasten und Luftleitungsanschluss aus verzinktem Stahl, Lage seitlich, mit Lippendichtung, Anschlussstutzendurchmesser in mm 200","Frontplatte RAL 9010, Luftleitelemente ähnlich RAL 9005 *** Bezugsbeschreibung Decken-Drallluftdurchlass Abluft Gr.400 STLB-Bau 2023-10 075 4635 Decken-Drallluftdurchlass, für Abluft, Nenngröße 400, mit Anschlusskasten und Luftleitungsanschluss aus verzinktem Stahl, Lage seitlich, mit Lippendichtung, Anschlussstutzendurchmesser in mm 200","Frontplatte RAL 9010, Luftleitelemente ähnlich RAL 9005 *** Bezugsbeschreibung Decken-Drallluftdurchlass Abluft Gr.400 STLB-Bau 2023-10 075 4635 Decken-Drallluftdurchlass, für Abluft, Nenngröße 400, mit Anschlusskasten und Luftleitungsanschluss aus verzinktem Stahl, Lage seitlich, mit Lippendichtung, Anschlussstutzendurchmesser in mm 200","Frontplatte RAL 9010, Luftleitelemente ähnlich RAL 9005 *** Bezugsbeschreibung Decken-Drallluftdurchlass Abluft Gr.400 STLB-Bau 2023-10 075 4635 Decken-Drallluftdurchlass, für Abluft, Nenngröße 400, mit Anschlusskasten und Luftleitungsanschluss aus verzinktem Stahl, Lage seitlich, mit Lippendichtung, Anschlussstutzendurchmesser in mm 200","Frontplatte RAL 9010, Luftleitelemente ähnlich RAL 9005 *** Bezugsbeschreibung Decken-Drallluftdurchlass Abluft Gr.400 STLB-Bau 2023-10 075 4635 Decken-Drallluftdurchlass, für Abluft, Nenngröße 400, mit Anschlusskasten und Luftleitungsanschluss aus verzinktem Stahl, Lage seitlich, mit Lippendichtung, Anschlussstutzendurchmesser in mm 200","Frontplatte RAL 9010, Luftleitelemente ähnlich RAL 9005 *** Bezugsbeschreibung Decken-Drallluftdurchlass Abluft Gr.400 STLB-Bau 2023-10 075 4635 Decken-Drallluftdurchlass, für Abluft, Nenngröße 400, mit Anschlusskasten und Luftleitungsanschluss aus verzinktem Stahl, Lage seitlich, mit Lippendichtung, Anschlussstutzendurchmesser in mm 200","Frontplatte RAL 9010, Luftleitelemente ähnlich RAL 9005 *** Bezugsbeschreibung Decken-Drallluftdurchlass Abluft Gr.400 STLB-Bau 2023-10 075 4635 Decken-Drallluftdurchlass, für Abluft, Nenngröße 400, mit Anschlusskasten und Luftleitungsanschluss aus verzinktem Stahl, Lage seitlich, mit Lippendichtung, Anschlussstutzendurchmesser in mm 200"
,"mit frontseitig bedienbarer Volumenstromeinstellvorrichtung des Luftleitungsanschlusses, max. A-Schallleistungspegel in dB 35 14,000 St","mit frontseitig bedienbarer Volumenstromeinstellvorrichtung des Luftleitungsanschlusses, max. A-Schallleistungspegel in dB 35 14,000 St","mit frontseitig bedienbarer Volumenstromeinstellvorrichtung des Luftleitungsanschlusses, max. A-Schallleistungspegel in dB 35 14,000 St","mit frontseitig bedienbarer Volumenstromeinstellvorrichtung des Luftleitungsanschlusses, max. A-Schallleistungspegel in dB 35 14,000 St","mit frontseitig bedienbarer Volumenstromeinstellvorrichtung des Luftleitungsanschlusses, max. A-Schallleistungspegel in dB 35 14,000 St","mit frontseitig bedienbarer Volumenstromeinstellvorrichtung des Luftleitungsanschlusses, max. A-Schallleistungspegel in dB 35 14,000 St","mit frontseitig bedienbarer Volumenstromeinstellvorrichtung des Luftleitungsanschlusses, max. A-Schallleistungspegel in dB 35 14,000 St","mit frontseitig bedienbarer Volumenstromeinstellvorrichtung des Luftleitungsanschlusses, max. A-Schallleistungspegel in dB 35 14,000 St","mit frontseitig bedienbarer Volumenstromeinstellvorrichtung des Luftleitungsanschlusses, max. A-Schallleistungspegel in dB 35 14,000 St"
,*** Wiederholungsbeschreibung zu Bezugs-OZ 1.11.32,*** Wiederholungsbeschreibung zu Bezugs-OZ 1.11.32,*** Wiederholungsbeschreibung zu Bezugs-OZ 1.11.32,*** Wiederholungsbeschreibung zu Bezugs-OZ 1.11.32,*** Wiederholungsbeschreibung zu Bezugs-OZ 1.11.32,*** Wiederholungsbeschreibung zu Bezugs-OZ 1.11.32,*** Wiederholungsbeschreibung zu Bezugs-OZ 1.11.32,*** Wiederholungsbeschreibung zu Bezugs-OZ 1.11.32,*** Wiederholungsbeschreibung zu Bezugs-OZ 1.11.32
,Zuluftvolumenstrom in m3/h max. 750 max. A-Schallleistungspegel in dB 41,Zuluftvolumenstrom in m3/h max. 750 max. A-Schallleistungspegel in dB 41,Zuluftvolumenstrom in m3/h max. 750 max. A-Schallleistungspegel in dB 41,Zuluftvolumenstrom in m3/h max. 750 max. A-Schallleistungspegel in dB 41,Zuluftvolumenstrom in m3/h max. 750 max. A-Schallleistungspegel in dB 41,Zuluftvolumenstrom in m3/h max. 750 max. A-Schallleistungspegel in dB 41,Zuluftvolumenstrom in m3/h max. 750 max. A-Schallleistungspegel in dB 41,Zuluftvolumenstrom in m3/h max. 750 max. A-Schallleistungspegel in dB 41,Zuluftvolumenstrom in m3/h max. 750 max. A-Schallleistungspegel in dB 41
